X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATES,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,PRC,COUNTYFIPS,PROFIT
-116.18099,43.59974,1,1,49,ALBERTSONS COS.,250 PARKCENTER BOULEVARD,NOT AVAILABLE,BOISE,ID,83706,ADA,274000,58734,43.59974,-116.18099,ADDRESS,16001,-502.2
-116.14697,43.52925,2,2,226,MICRON TECHNOLOGY,8000 SOUTH FEDERAL WAY,NOT AVAILABLE,BOISE,ID,83716,ADA,31400,12399,43.52925,-116.14697,ADDRESS,16001,-276
-79.43739,36.09317,3,3,290,LABORATORY CORP. OF AMERICA,358 SOUTH MAIN STREET,NOT AVAILABLE,BURLINGTON,NC,27215,ALAMANCE,52000,9642,36.09317,-79.43739,ADDRESS,37001,732.1
-121.95694,37.4886,4,4,440,LAM RESEARCH,4650 CUSHING PARKWAY,NOT AVAILABLE,FREMONT,CA,94538,ALAMEDA,7500,5886,37.4886,-121.95694,ADDRESS,6001,914
-121.97965,37.49628,5,5,198,SYNNEX,44201 NOBEL DRIVE,NOT AVAILABLE,FREMONT,CA,94538,ALAMEDA,110000,14062,37.49628,-121.97965,ADDRESS,6001,234.9
-121.89039,37.71041,6,6,219,ROSS STORES,5130 HACIENDA DRIVE,NOT AVAILABLE,DUBLIN,CA,94568,ALAMEDA,78600,12867,37.71041,-121.89039,ADDRESS,6001,1117.7
-122.27237,37.80348,7,7,453,CLOROX,1221 BROADWAY,NOT AVAILABLE,OAKLAND,CA,94612,ALAMEDA,8000,5761,37.80348,-122.27237,ADDRESS,6001,648
-80.2658,40.50779,8,8,340,DICK'S SPORTING GOODS,345 COURT STREET,NOT AVAILABLE,CORAOPOLIS,PA,15108,ALLEGHENY,27550,7922,40.50779,-80.2658,ADDRESS,42003,287.4
-79.99485,40.44136,9,9,279,UNITED STATES STEEL,600 GRANT STREET,NOT AVAILABLE,PITTSBURGH,PA,15219,ALLEGHENY,29800,10261,40.44136,-79.99485,ADDRESS,42003,-440
-80.00437,40.43329,10,10,373,WESCO INTERNATIONAL,225 WEST STATION SQUARE DRIVE,NOT AVAILABLE,PITTSBURGH,PA,15219,ALLEGHENY,9000,7336,40.43329,-80.00437,ADDRESS,42003,101.6
